id,path
158,50 2 96 97 91
203,1 30 31 45 111 109 77
162,98 99 100 26
74,62 30 48 8 13 14 15
227,1 30 31 119 78
260,79 108 109 77
76,64 30 31 5
3,6 2 3 5
263,79 108 110 44 45 26
64,40 30 51 54 8 13 14 15
145,82 83 84 14 9 69
166,1 2 3 100 26
92,50 30 41 44 30 48 8 13 14 15
252,116 127 75 44 30 31 5
130,79 75 44 30 80 13 14 15
152,94 83 89 83 84 87
181,82 13 83 84 14 81 31 36
277,136 133 134 91
86,38 30 41 42 31 61
209,113 30 31 20
195,79 108 110 111 5
131,50 30 80 13 14 15
51,33 51 52 31 21
12,12 8 9 19 20
191,98 99 2 96 97 91
123,12 75 44 30 31 5
11,12 8 9 19 21
217,114 110 44 45 26
20,33 34 35 31 36
21,33 34 35 31 32
85,38 30 41 42 31 37
192,79 108 109 26
120,12 75 44 45 26
219,116 110 44 45 42 47
142,50 30 72 89 90 84 15
87,43 44 45 42 66
280,92 133 134 103 31 36
228,1 30 31 119 10
211,38 30 41 42 31 21
2,1 2 3 5
121,79 75 44 45 26
159,50 2 96 97 84 15
1,1 2 3 4
190,38 96 97 3 100 101
188,86 83 84 90 93
161,92 96 97 84 85
52,33 51 52 31 39
9,17 18 19 20
182,88 89 90 105 103 47
226,12 118 119 120
242,79 124 125 126
168,98 99 2 3 5
47,12 8 9 49 47
114,74 75 76 10
259,1 30 31 45 111 125 77
155,38 96 97 3 37
200,50 110 44 45 26
303,82 13 83 84 14 9 10
34,43 44 45 42 47
265,33 41 42 31 123 47
241,79 124 125 91
